标题,开发商,房子信息,发布信息,售价/万,单价
中华园大三房 户型方正 采光通风好 满五唯一税费低,中华园教师村 -鹤山市,3室2厅 | 106.59平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 12天以前发布,19.5,"1,830元/平"
骏景湾星悦，一字楼南北对流通透实用。,骏景湾·星悦 -鹤山市,4室2厅 | 129.6平米 | 东南 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 15天以前发布,120,"9,260元/平"
坚美园顶楼复式带入户花园+顶楼大露台！,坚美园 -鹤山市,3室2厅 | 127.21平米 | 西北 | 毛坯 | 高楼层(共17层)  | 板楼,6人关注 / 一年前发布,88,"6,918元/平"
百合园舒适精装大三房，拧包入住即可,松鹤百合苑 -鹤山市,3室2厅 | 104.07平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,58,"5,574元/平"
峻廷湾 房屋格局方正实用 中高层 采光足 景观靓,峻廷湾领峰 -鹤山市,3室1厅 | 96.25平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,4人关注 / 一年前发布,65,"6,754元/平"
越秀4房2卫2厅1厨方方正正采光好,越秀星汇名庭 -鹤山市,4室2厅 | 125平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 8天以前发布,80,"6,400元/平"
十里房源九章 安静实用2房，证满2年，税费低,十里方圆―九章 -鹤山市,2室2厅 | 83平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,1人关注 / 10个月以前发布,59,"7,109元/平"
中间楼层  地段好  户型方正  一梯两户,天龙三街 -双龙,3室2厅 | 102平米 | 南 北 | 其他 | 中楼层(共8层)  | 塔楼,0人关注 / 3个月以前发布,53,"5,197元/平"
出行方便，小区管理，江华成熟商圈，生活便利,兴华苑 -江华港口,3室2厅 | 116.05平米 | 南 北 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,63,"5,429元/平"
侨城颐景园 3室1厅 南,侨城颐景园 -鹤山市,3室1厅 | 81.64平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,59,"7,227元/平"
碧桂园物业，小区24小时安保管理，绿化面积高，安静,碧桂园滨江天际 -棠下,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,135.5,"12,784元/平"
锦富汇景湾业主诚心出售.价格还可以谈！,锦富•汇景湾 -滨江新区,3室2厅 | 88.18平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 一年前发布,99,"11,228元/平"
智慧城旁 带大平台 银辉山庄 售72万,银辉山庄 -双龙,2室2厅 | 82平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,60,"7,318元/平"
金福一街精装步梯三房，全新部分家私,金福一街 -杜阮,3室2厅 | 70平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 9天以前发布,39.8,"5,686元/平"
视野无遮挡，风景怡人，看房方便,海逸城邦 -北新区,3室2厅 | 98.39平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,145,"14,738元/平"
华润旁，冈州大道中舒适3房，采光靓,冈州大道中 -中心城区,3室2厅 | 93.23平米 | 东 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,52,"5,578元/平"
紫茶学府靓楼层金丰家园诚意出售,金丰家园 -北新区,3室2厅 | 97.88平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,8人关注 / 一年前发布,90,"9,195元/平"
新华城中层大三房 小区中部不近路  单边位 采光好,鹤山新华城 -鹤山市,3室2厅 | 111.39平米 | 北 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,90.5,"8,125元/平"
新升苑，证满五年，采光足，通风实用,新升苑 -鹤山市,3室2厅 | 119.15平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,10人关注 / 一年前发布,39.5,"3,316元/平"
鹤起香泉大三房  装修新净 业主诚心出售,碧桂园-鹤起香泉 -鹤山市,3室2厅 | 104.51平米 | 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,50.5,"4,833元/平"
此房满五唯一，南北对流，通风采光好，视野开阔,象山新村 -白沙农林,4室1厅 | 94平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,48.5,"5,160元/平"
美景里 4室2厅 南,美景里 -江华港口,4室2厅 | 138平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,63,"4,566元/平"
小区管理 电梯洋房 户型方正 带装拧包入住,凤山水岸2期誉城 -双龙,4室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共23层)  | 塔楼,0人关注 / 18天以前发布,188,"13,147元/平"
南北对流带装修， 空气流通性好...,星河花园 -双龙,3室2厅 | 146平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,122.8,"8,411元/平"
怡居苑 2室2厅 南 北,怡居苑 -育德,2室2厅 | 78.83平米 | 南 北 | 其他 | 高楼层(共9层)  | 平房,0人关注 / 6天以前发布,45,"5,709元/平"
绍尧里 3室2厅 南,绍尧里 -江华港口,3室2厅 | 81平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,48.8,"6,025元/平"
该房源户型方正 ，南北向，地理位置佳，通风采光好,灏景园 -杜阮,4室2厅 | 219.22平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 4个月以前发布,498,"22,717元/平"
居民素质高，小区道路人车分流，户型方正，南向,十里方圆―九章 -鹤山市,4室2厅 | 131平米 | 南 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 8天以前发布,99,"7,558元/平"
房子坐落在时代雁山湖，原生态风景区，小区管理,时代雁山湖 -鹤山市,4室1厅 | 124平米 | 南 北 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 3天以前发布,90,"7,259元/平"
凤山水岸2期誉城 3室2厅 北 南,凤山水岸2期誉城 -双龙,3室2厅 | 89平米 | 北 南 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 3天以前发布,94,"10,562元/平"
碧桂园山湖湾6楼 业主精致装修 3房2厅,大泽碧桂园山湖湾 -其他城区,3室2厅 | 93平米 | 北 南 | 其他 | 低楼层(共20层)  | 板楼,1人关注 / 6天以前发布,53,"5,699元/平"
北新区奥园益丞国际广场，4房精装，业主诚心出售。,奥园益丞国际广场 -北新区,4室2厅 | 142.24平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 6个月以前发布,190,"13,358元/平"
恒健大厦 3室2厅 南,恒健大厦 -良化北街,3室2厅 | 98.85平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 8天以前发布,88,"8,903元/平"
珠江帝景湾 4室2厅 南,珠江帝景湾 -白沙农林,4室2厅 | 153平米 | 南 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 7天以前发布,139,"9,085元/平"
国瑞山湖海.环境优美 居住在公园内,国瑞山湖海庄园 -鹤山市,3室2厅 | 91.5平米 | 东南 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 6天以前发布,53,"5,793元/平"
农林横路 3室2厅 南,农林横路 -白沙农林,3室2厅 | 87平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,46.8,"5,380元/平"
碧桂园星语别墅 装修好 大花园 光线好  出入方便,碧桂园星语 -鹤山市,5室2厅 | 255.65平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,7人关注 / 一年前发布,409.8,"16,030元/平"
四房两厅两卫双阳台，采光通风好。,蝴蝶花园 -鹤山市,4室2厅 | 115.69平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,27.8,"2,403元/平"
港口一路 文化低层精装修3房 单价低 总价低,港口一路 -江华港口,3室1厅 | 71平米 | 东 西 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,33.8,"4,761元/平"
西江江景，楼下滨江大道运动方便，环境优美,奥园外滩 -滨江新区,4室2厅 | 143.94平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,5人关注 / 一年前发布,153,"10,630元/平"
四层小别墅 诚心出售 安静不吵,碧桂园-芳邻3期 -鹤山市,4室2厅 | 183.6平米 | 南 | 其他 | 4层  | 平房 | 独栋别墅 ,3人关注 / 7个月以前发布,185,"10,077元/平"
共和碧桂园翠湖畔 3室2厅 南 西,共和碧桂园翠湖畔 -鹤山市,3室2厅 | 118平米 | 南 西 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 3天以前发布,68,"5,763元/平"
笋盘昆英绿洲，精装修，环境好，位置靓,昆英绿洲 -鹤山市,3室2厅 | 103.58平米 | 南 | 精装 | 低楼层(共9层)  | 暂无数据,6人关注 / 一年前发布,71,"6,855元/平"
房格局方正实用视野开阔.通风采光充足.配套设施齐全,国瑞山湖海庄园 -鹤山市,3室1厅 | 91.49平米 | 西北 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 1天以前发布,55,"6,012元/平"
保利中宇花园住宅业主诚意出售.,保利·中宇花园 -滨江新区,3室2厅 | 90.46平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1天以前发布,85,"9,397元/平"
国瑞山湖海.环境优美 居住在公园内,国瑞山湖海庄园 -鹤山市,3室2厅 | 96平米 | 东南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 3天以前发布,64.8,"6,750元/平"
国瑞山湖海庄园 3室2厅 西北,国瑞山湖海庄园 -鹤山市,3室2厅 | 91.49平米 | 西北 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 3天以前发布,60,"6,559元/平"
新城区，大润发，万达，美吉特在旁，紧江门站,新会碧桂园 -枢纽新城,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 1天以前发布,108,"9,909元/平"
汇源新都精装3房，家电齐 业主诚意出售，看中可谈,奥园汇源新都 -鹤山市,3室2厅 | 107平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 5天以前发布,85,"7,944元/平"
新城区靓小区，地下带花园，阳台向南，户型好,新会碧桂园·柏丽郡 -枢纽新城,3室1厅 | 116平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 1天以前发布,130,"11,207元/平"
四房两厅两卫双阳台，采光通风好。,蝴蝶花园 -鹤山市,4室2厅 | 115.69平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,27.8,"2,403元/平"
港口一路 文化低层精装修3房 单价低 总价低,港口一路 -江华港口,3室1厅 | 71平米 | 东 西 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,33.8,"4,761元/平"
十里方圆―芳菲庭园 4室2厅 南 北,十里方圆―芳菲庭园 -鹤山市,4室2厅 | 200平米 | 南 北 | 其他 | 高楼层(共4层)  | 塔楼,0人关注 / 10天以前发布,158,"7,900元/平"
西江江景，楼下滨江大道运动方便，环境优美,奥园外滩 -滨江新区,4室2厅 | 143.94平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,5人关注 / 一年前发布,153,"10,630元/平"
南北对流 满五唯一 税费低 好新净 不用再装修,新升苑 -鹤山市,3室2厅 | 90平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,29,"3,223元/平"
此房格局方正实用..视野开阔.通风采光充足.配套设施齐,国瑞山湖海庄园 -鹤山市,3室1厅 | 91平米 | 西北 | 其他 | 低楼层(共31层)  | 板塔结合,1人关注 / 1天以前发布,47,"5,165元/平"
此房格局方正实用..视野开阔.通风采光充足,国瑞山湖海庄园 -鹤山市,3室2厅 | 91.5平米 | 西北 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 3天以前发布,55,"6,011元/平"
步梯房，光线足， 满五不唯一、格局设计较合理,江南二路12号 -河南,3室1厅 | 82平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1天以前发布,45.8,"5,586元/平"
业主诚心出售！单边双拼别墅，位置好，大花园，精装修,碧桂园公园1号 -鹤山市,4室2厅 | 216平米 | 南 北 | 其他 | 3层  | 暂无数据 | 独栋别墅 ,1人关注 / 7个月以前发布,260,"12,038元/平"
碧桂园大4房中楼层.精装修适合二胎的年轻一代,花岸 -鹤山市,4室2厅 | 127平米 | 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,70.8,"5,575元/平"
十里方圆 大雅  145方高层洋房 背山望水,十里方圆―大雅 -鹤山市,3室2厅 | 145.11平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,3人关注 / 一年前发布,118,"8,132元/平"
业主精装修，望湖景，采光充足。,凤山水岸 -双龙,3室2厅 | 133平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,133,"10,000元/平"
顶楼复式大露台，360度远景，单价八字头,碧桂园天汇 -鹤山市,4室2厅 | 185.29平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,27人关注 / 一年前发布,155,"8,366元/平"
安静修养好房源，好的生活从这开始。,尚岭新筑 -双龙,3室2厅 | 133平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,4人关注 / 一年前发布,133,"10,000元/平"
滨江新区 位置好  范罗岗     毛坯自由改动,五邑锦绣豪庭 -滨江新区,4室1厅 | 179.97平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 4个月以前发布,169.9,"9,441元/平"
采光充足  业主保养好 东南向 看房方便,鹤山广场 -鹤山市,3室2厅 | 128平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,2人关注 / 一年前发布,103,"8,047元/平"
该房子位于市中，出入方便业主诚心出售,松鹤广场冲尾苑 -鹤山市,3室2厅 | 117平米 | 西 | 精装 | 高楼层(共8层)  | 塔楼,7人关注 / 一年前发布,48,"4,103元/平"
单价8字头新会碧桂园4房精装 出售,新会碧桂园 -枢纽新城,3室2厅 | 145平米 | 北 | 精装 | 高楼层(共16层)  | 板楼,5人关注 / 5个月以前发布,120,"8,276元/平"
星河花园 2室2厅 南,星河花园 -双龙,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共6层)  | 平房,0人关注 / 18天以前发布,85,"10,000元/平"
市区繁华地段，精装4房，全新没入住过,保利中央花园中韵 -鹤山市,4室2厅 | 117平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 一年前发布,110,"9,402元/平"
房子满五带装修，两房一厅，业主诚心售,江海四路113号 -外海,2室1厅 | 61.58平米 | 北 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 18天以前发布,20,"3,248元/平"
坚美园精装大4房，家电齐，拎包入住，生活方便,坚美园 -鹤山市,4室2厅 | 151.64平米 | 南 | 精装 | 中楼层(共13层)  | 塔楼,5人关注 / 一年前发布,112,"7,386元/平"
峻廷湾 改善户型大四房 精装修 拎包入住 随时看房,峻廷湾领峰 -鹤山市,4室2厅 | 125平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,10人关注 / 一年前发布,90,"7,200元/平"
房屋精装，保养新净，环境好，户型方正,碧桂园天汇 -鹤山市,4室2厅 | 138平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 11个月以前发布,117.5,"8,515元/平"
汽车总站 中邦国际广场后 尚岭新筑二期 业主诚售,尚岭新筑 -双龙,4室2厅 | 130平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,9人关注 / 一年前发布,138,"10,616元/平"
芳邻一期独栋别墅，税费低，少有放盘,碧桂园芳邻一期 -鹤山市,7室3厅 | 575平米 | 南 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,0人关注 / 一年前发布,845,"14,696元/平"
北新区地段 新车站旁边公寓 带阳台复式公寓,滨河四季 -双龙,1室1厅 | 58.55平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,62,"10,590元/平"
朗泰花园，朗泰花园  户型方正  采光好  生活便利。,朗泰花园 -鹤山市,2室1厅 | 50.76平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 11个月以前发布,23.5,"4,630元/平"
怡和苑 2室1厅 南,怡和苑 -杜阮,2室1厅 | 72.05平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,42.8,"5,941元/平"
现房带装修，复式两房公寓，即买即入住,富力•南湖壹品 -枢纽新城,2室2厅 | 56平米 | 西南 | 精装 | 低楼层(共20层)  | 板塔结合,5人关注 / 一年前发布,62,"11,072元/平"
圭峰北路  80平方+8平方车房  全马,圭峰北路 -圭峰,3室2厅 | 80平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,39.8,"4,975元/平"
星汇花苑小面积 装修好 电梯房,星汇花苑 -双龙,1室1厅 | 45平米 | 南 | 精装 | 中楼层(共12层)  | 塔楼,13人关注 / 一年前发布,30,"6,667元/平"
五套小面积住宅性公寓组成的大办公室,星汇花苑 -双龙,1室0厅 | 42.88平米 | 南 | 其他 | 中楼层(共12层)  | 塔楼,0人关注 / 一年前发布,34,"7,930元/平"
海逸星宸1-0-1-1 31.00m²,海逸星宸 -外海,1室0厅 | 31平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,30,"9,678元/平"
九中旁江边里高层，首付低，生活方便，出行方便,江边里1号之一 -江华港口,3室2厅 | 89.96平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,4人关注 / 一年前发布,25.8,"2,868元/平"
德兴路，业主置换物业，诚心放盘,德兴路 -圭峰,3室1厅 | 65.6平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,40,"6,098元/平"
嘉和园06年小区 环境舒适 小区配套成熟,嘉和苑 -双龙,2室2厅 | 78.28平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,1人关注 / 10个月以前发布,41,"5,238元/平"
海逸星宸精装高层商寓，即买即收租！,海逸星宸 -外海,1室0厅 | 31.02平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,38.8,"12,509元/平"
"买一层多用一层，楼下是公园,配车房，2000年楼",甘化路168号 -良化北街,2室1厅 | 77.34平米 | 东南 | 精装 | 高楼层(共8层)  | 塔楼,8人关注 / 一年前发布,36,"4,655元/平"
95年楼，可按揭，总价低中间楼层，位置好配套齐全,园外苑 -鹤山市,3室2厅 | 80平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,19,"2,375元/平"
