标题,开发商,房子信息,发布信息,售价/万,单价
阳光六层，精装两居，户型方正，价格美丽,税苑小区 -金桥商圈,2室2厅 | 114.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 10个月以前发布,85,"7,450元/平"
地暖房 县府街  南北通透 房本满五,清水湾 -县府街商圈,2室1厅 | 75.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,61,"8,085元/平"
地矿金地 南北通透    随时方便看房,地矿金地小区 -新华联商圈,2室1厅 | 88.12平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,8人关注 / 3个月以前发布,80,"9,079元/平"
光明大街，交通方便，商品本，紧凑两居，看房方便,西机务北小区 -西货场商圈,2室1厅 | 56平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,39.8,"7,108元/平"
楼层好  精装修 精装拎 包入住 房本在 手看房方便,内蒙古总工会住宅小区 -新华联商圈,2室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,119,"10,439元/平"
双阳卧户型，地铁口，交通便利，出行方便,天府小区 -八一商圈,2室1厅 | 82平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,56人关注 / 一年前发布,55,"6,708元/平"
南店 东河边 多层中间楼层 急售 看房方便,南店滨水新村 -市政府商圈,2室2厅 | 89.2平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,14人关注 / 6个月以前发布,97,"10,875元/平"
中海商圈 附 近有 学 校、医院以及大型菜市场,金河湾住宅小区 -金桥商圈,2室1厅 | 91.87平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,16人关注 / 6个月以前发布,88,"9,579元/平"
南茶坊 坤宇苑小区 中间楼层 有房本 可按揭 方便看房,坤宇苑 -南茶坊商圈,1室1厅 | 53.86平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,34,"6,313元/平"
西苑家园 2室1厅 南 北,西苑家园 -食品商圈,2室1厅 | 100平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,91.8,"9,180元/平"
交通便利，视野宽阔，采光充足 配套齐全,气象小区 -八一商圈,2室1厅 | 71.61平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 4个月以前发布,55,"7,681元/平"
附院 通道街 车站西街 富邦小区旁 公主府公园标准户型,新希望小区东区 -附属医院商圈,2室1厅 | 66平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,42,"6,364元/平"
中间楼层  标准刀把 采光好 五年外房本  离校近,内蒙古师范大学家属区中区 -南门外商圈,2室1厅 | 63.36平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,95,"14,994元/平"
海东路商圈名都·枫景2-2-1-1 115.60m² 115 万,名都·枫景 -成吉思汗东商圈,2室2厅 | 115.6平米 | 北 南 | 精装 | 中楼层(共10层)  | 板楼,14人关注 / 一年前发布,100,"8,651元/平"
水岸小镇 1室1厅 北,水岸小镇 -市政府商圈,1室1厅 | 45.62平米 | 北 | 毛坯 | 中楼层(共22层)  | 板楼,33人关注 / 11个月以前发布,31,"6,796元/平"
采光好，运动楼层，房东着急出售，小区配套全,铁路小区(化工路) -植物园商圈,2室1厅 | 58.09平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,33,"5,681元/平"
视野开阔    格局一字型格局    采光充足,道北小区 -海西路商圈,2室1厅 | 47.09平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,8人关注 / 6个月以前发布,34,"7,221元/平"
秋实璟峯汇 地铁口 交通便利 复式公寓 单价低,秋实璟峯汇 -金桥商圈,1室1厅 | 56.13平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,11人关注 / 4个月以前发布,55,"9,799元/平"
有房本，可以贷款，单价低，总价低,维多利喜悦广场 -成吉思汗西商圈,2室1厅 | 52平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 10个月以前发布,45.5,"8,750元/平"
位置优越 生活便利  出门地铁口,名都▪和景 -市政府商圈,2室2厅 | 95平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,17人关注 / 一年前发布,106,"11,158元/平"
房东诚意出售 满五唯一 贷款全款都可以 南北通透,广厦小区(回民区) -县府街商圈,3室1厅 | 90.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,70,"7,754元/平"
一梯一户 中间楼层距离网红街200米,文化大院(回民区) -附属医院商圈,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,78,"9,750元/平"
海东路商圈名都·枫景2-2-1-1 115.60m² 115 万,名都·枫景 -成吉思汗东商圈,2室2厅 | 115.6平米 | 北 南 | 精装 | 中楼层(共10层)  | 板楼,14人关注 / 一年前发布,100,"8,651元/平"
水岸小镇 1室1厅 北,水岸小镇 -市政府商圈,1室1厅 | 45.62平米 | 北 | 毛坯 | 中楼层(共22层)  | 板楼,33人关注 / 11个月以前发布,31,"6,796元/平"
房东诚意出售 满五唯一 贷款全款都可以 南北通透,广厦小区(回民区) -县府街商圈,3室1厅 | 90.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,70,"7,754元/平"
一梯一户 中间楼层距离网红街200米,文化大院(回民区) -附属医院商圈,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,78,"9,750元/平"
有房本，可以贷款，单价低，总价低,维多利喜悦广场 -成吉思汗西商圈,2室1厅 | 52平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 10个月以前发布,45.5,"8,750元/平"
位置优越 生活便利  出门地铁口,名都▪和景 -市政府商圈,2室2厅 | 95平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,17人关注 / 一年前发布,106,"11,158元/平"
南店滨水新村 2室2厅 南 北,南店滨水新村 -市政府商圈,2室2厅 | 96.3平米 | 南 北 | 简装 | 高楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,85,"8,827元/平"
房子户型好，格局好，房本满二。,永泰城汇景 -金桥商圈,3室2厅 | 106.59平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,23人关注 / 一年前发布,125,"11,728元/平"
采光好，好楼层 楼层，人文环境好，业主着急,供电局小区(西村后街) -工人北村商圈,2室1厅 | 46.64平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,9人关注 / 4个月以前发布,30,"6,433元/平"
楼层好 看房随时 业主诚心出售 可按揭,金鹿小区 -工人北村商圈,2室1厅 | 48平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,40,"8,334元/平"
中海商圈 附 近有 学 校、医院以及大型菜市场,金河湾住宅小区 -金桥商圈,2室1厅 | 91.87平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,16人关注 / 6个月以前发布,88,"9,579元/平"
视野宽阔，采光充足，配套设施齐全，交通便利,水语青城 -南湖商圈,1室1厅 | 40.3平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,4人关注 / 6个月以前发布,20,"4,963元/平"
绿地二期 中高楼层 有车位 大宽厅阳台 出门到校地铁口,绿地城二期 -市政府商圈,2室1厅 | 96.4平米 | 南 | 简装 | 高楼层(共23层)  | 板楼,23人关注 / 7个月以前发布,125,"12,967元/平"
中间楼层，房本五年外，精装修 产权清晰可贷款,中海锦绣城 -中海商圈,2室1厅 | 91.08平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,100,"10,980元/平"
中间楼层  看房方便的 小区地暖房,燕莎玫瑰园 -光明路商圈,2室1厅 | 59.29平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,44,"7,422元/平"
急售，精装修，高楼层 ，70年产权,蓝色港湾 -万锦商圈,1室1厅 | 33.06平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,13人关注 / 6个月以前发布,25,"7,563元/平"
国标户型，五年外房本，过户税费低，空户,首府國際公館 -金桥商圈,3室2厅 | 116.38平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,8人关注 / 8个月以前发布,130,"11,171元/平"
房子一居室，小平米，过渡刚需户型 钥匙在手 拎包入住,中海锦绣城 -中海商圈,1室1厅 | 68.5平米 | 西 北 | 精装 | 低楼层(共22层)  | 板楼,10人关注 / 一年前发布,74,"10,803元/平"
香槟美景 地暖 电梯小高层  绿化好  佳荣物业 地铁1号,欧星·香槟美景 -回民政府商圈,2室1厅 | 78平米 | 东南 | 简装 | 低楼层(共11层)  | 塔楼,1人关注 / 2个月以前发布,63,"8,077元/平"
采光好，楼层好，房东着急出售，小区配套全,工人西村铁路宿舍 -工人北村商圈,2室1厅 | 60.64平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,45,"7,421元/平"
房子到校距离近，中间楼层，采光好,人寿保险宿舍 -东落凤商圈,1室1厅 | 33.23平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,31,"9,329元/平"
出门就是地铁口 出行便利 小区环境 物业都不错,秋实璟峯汇 -金桥商圈,1室1厅 | 42.14平米 | 东 | 精装 | 高楼层(共20层)  | 塔楼,9人关注 / 9个月以前发布,42,"9,967元/平"
房东诚心出售 精装修 二环内 电梯楼,水岸青城 -食品商圈,2室1厅 | 92.79平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 2个月以前发布,59,"6,359元/平"
精装修  海东路 刚需  两居 丁香路,巨华世纪城·明祥园 -海东路商圈,2室1厅 | 80.6平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,94,"11,663元/平"
泽信青城 精装修 中间楼层 三居2卫  可贷款房本在手,泽信青城 -东岸商圈,2室2厅 | 129平米 | 南 北 | 精装 | 高楼层(共15层)  | 暂无数据,1人关注 / 2个月以前发布,188,"14,574元/平"
房本在手，单价低，采光充足，配套齐全,大力公司家属院 -八一商圈,2室1厅 | 63.48平米 | 北 南 | 简装 | 高楼层(共6层)  | 板塔结合,25人关注 / 9个月以前发布,43,"6,774元/平"
维多利喜悦广场 1室1厅 北,维多利喜悦广场 -成吉思汗西商圈,1室1厅 | 53平米 | 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,36,"6,793元/平"
国标大两居 交通方便 采光好 看房方便,东润豪景住宅小区 -东岸商圈,2室2厅 | 107.2平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,90,"8,396元/平"
八一  精装  5楼   南北通透,气象局西巷小区 -八一商圈,2室1厅 | 54.34平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,8人关注 / 10个月以前发布,51,"9,386元/平"
大招商圈地暖新小区，中间楼层采光好,印象江南二期 -大召商圈,3室1厅 | 101.37平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,4人关注 / 一年前发布,98,"9,668元/平"
中间楼层，房本五年外，精装修 产权清晰可贷款,中海锦绣城 -中海商圈,2室1厅 | 91.08平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,100,"10,980元/平"
视野宽阔，采光充足，配套设施齐全，交通便利,水语青城 -南湖商圈,1室1厅 | 40.3平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,4人关注 / 6个月以前发布,20,"4,963元/平"
国标户型，五年外房本，过户税费低，空户,首府國際公館 -金桥商圈,3室2厅 | 116.38平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,8人关注 / 8个月以前发布,130,"11,171元/平"
房子一居室，小平米，过渡刚需户型 钥匙在手 拎包入住,中海锦绣城 -中海商圈,1室1厅 | 68.5平米 | 西 北 | 精装 | 低楼层(共22层)  | 板楼,10人关注 / 一年前发布,74,"10,803元/平"
急售，精装修，高楼层 ，70年产权,蓝色港湾 -万锦商圈,1室1厅 | 33.06平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,13人关注 / 6个月以前发布,25,"7,563元/平"
中间楼层  看房方便的 小区地暖房,燕莎玫瑰园 -光明路商圈,2室1厅 | 59.29平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,44,"7,422元/平"
绿地二期 中高楼层 有车位 大宽厅阳台 出门到校地铁口,绿地城二期 -市政府商圈,2室1厅 | 96.4平米 | 南 | 简装 | 高楼层(共23层)  | 板楼,23人关注 / 7个月以前发布,125,"12,967元/平"
诚心出售，秋实复式公寓，采光好，有房本,秋实璟峯汇 -金桥商圈,1室1厅 | 42.55平米 | 东 | 简装 | 高楼层(共20层)  | 塔楼,4人关注 / 3个月以前发布,38,"8,931元/平"
巨海城商圈|邻里荟万悦城|国际蒙医院|出行方便,嘉友城市花园 -巨海城商圈,2室1厅 | 105平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,88,"8,381元/平"
小区环境好，中间楼层，视野好 采光好,金河湾住宅小区 -金桥商圈,1室1厅 | 53.37平米 | 南 | 精装 | 中楼层(共19层)  | 塔楼,7人关注 / 4个月以前发布,38,"7,121元/平"
采光好 配套充足 带家具家电 随时看房,新华联·雅园 -新华联商圈,1室1厅 | 65.14平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,4人关注 / 7个月以前发布,78,"11,975元/平"
楼层好，前面无遮挡。采光好。房本2年外，税费低,万达华府C区 -西万达商圈,2室1厅 | 84.44平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,8人关注 / 一年前发布,79,"9,356元/平"
省力楼层 带有阳台 小平米总价低,农行小区(赛罕区) -大学路商圈,1室1厅 | 18.78平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,9人关注 / 11个月以前发布,20,"10,650元/平"
2010年以后的房子 地暖 高层 LOFT楼上南北通透,亿科·公元2010 -南门外商圈,3室2厅 | 69.89平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,3人关注 / 4个月以前发布,100,"14,309元/平"
地暖落地窗电梯房 交通便利停车方便 配套设施齐全,一鑫康乐苑 -工人北村商圈,2室1厅 | 43平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,42,"9,768元/平"
回民区，小区环境优美，交通便利，房屋是正南正北楼房,西铁小区 -工人北村商圈,2室1厅 | 55.48平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,34,"6,129元/平"
地铁口国标两居视野开阔采光充足南北通透可贷款,天府小区 -八一商圈,2室2厅 | 86平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,78,"9,070元/平"
欧星·香槟美景 2室1厅 南 北,欧星·香槟美景 -回民政府商圈,2室1厅 | 77.98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,71.5,"9,170元/平"
塞外康居 2室1厅 南,塞外康居 -成吉思汗东商圈,2室1厅 | 67.67平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,2人关注 / 6个月以前发布,52,"7,685元/平"
上院小区出行 方便，出门有公交站，附  近有大型商场,上院小区 -金川开发区,1室0厅 | 39.1平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,19.9,"5,090元/平"
车站西街 燕莎玫瑰园 2楼地暖 标准户型 有房本,燕莎玫瑰园 -光明路商圈,2室1厅 | 71平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,59,"8,310元/平"
汇豪天下南区 1室1厅 南,汇豪天下南区 -大召商圈,1室1厅 | 39平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,33.8,"8,667元/平"
出售 嘉茂地铁口一居朝南电梯房民水民电出行方便,金宇新天地 -石东路商圈,1室1厅 | 66平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 4个月以前发布,56,"8,485元/平"
先锋  35 摩尔城  地铁   39,房地产商品楼 -长乐宫商圈,2室1厅 | 64.03平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,64,"9,996元/平"
南北通风格局，视野宽阔，采光充足无遮挡，配套设施..,艾博龙园 -回民政府商圈,2室1厅 | 69.54平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,6人关注 / 6个月以前发布,46,"6,615元/平"
新小区 配套齐全 小区环境优美,集通·中朵城 -成吉思汗东商圈,2室2厅 | 106平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,21人关注 / 一年前发布,85,"8,019元/平"
此房通透格局，楼层好，视野宽阔，财光好，配套齐全,一鑫康乐苑 -工人北村商圈,2室2厅 | 54.7平米 | 北 | 简装 | 中楼层(共13层)  | 板楼,4人关注 / 一年前发布,48,"8,776元/平"
附院 明泽 电梯 交通方便 采光好 牛街 公交 地铁,星河御园 -光明路商圈,1室1厅 | 54.56平米 | 西 | 简装 | 高楼层(共14层)  | 板楼,3人关注 / 9个月以前发布,46,"8,432元/平"
小区安全， 有物业， 有门卫； 停车方便,煤炭厅宿舍 -满小商圈,1室1厅 | 29.25平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,18人关注 / 一年前发布,54,"18,462元/平"
房子通风好 采光好  小区出入方便 生活压力小,世源佳境 -万锦商圈,3室2厅 | 93.7平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,82,"8,752元/平"
金花园 2室2厅 南,金花园 -金桥商圈,2室2厅 | 121.98平米 | 南 | 简装 | 中楼层(共17层)  | 平房,0人关注 / 2个月以前发布,90,"7,379元/平"
北垣二楼。出行方便 。 交通便利，商场购物便利,药监局家属院 -北垣街商圈,2室1厅 | 78平米 | 西 东 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,85,"10,898元/平"
金汉御园 精装修 电梯房 房本满二,金汉御园 -桥华商圈,2室2厅 | 97.74平米 | 西 北 | 简装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,95,"9,720元/平"
